title,author,length
The Gathering Storm,Robert Jordan,32 hrs and 58 mins
Lady Jayne Disappears,Joanna Davidson Politano,10 hrs and 51 mins
Ready Player Two,Ernest Cline,13 hrs and 46 mins
Third Eye,Felicia Day,6 hrs and 56 mins
Raiden,Jaclyn Osborn,10 hrs and 38 mins
The Primal Hunter 2,Zogarth,19 hrs and 25 mins
Cozy Witch Mysteries: Special Edition Box Set of 8 Books,Angela Pepper,77 hrs
The Tibetan Book of the Dead,Lobsang Tenzin Dorje,3 hrs and 39 mins
Begrudgingly Engaged,Kelly Nelson,8 hrs and 28 mins
A Newlywed's Guide to Fortune and Murder,Dianne Freeman,8 hrs and 33 mins
I'm Your Guy,Sarina Bowen,9 hrs and 55 mins
The Bridge Kingdom,Danielle L. Jensen,11 hrs and 52 mins
An Echo in the Bone,Diana Gabaldon,45 hrs and 59 mins
Magical Midlife Battle,K.F. Breene,12 hrs and 43 mins
Tom Lake,Ann Patchett,11 hrs and 22 mins
Todo vuelve [Everything Comes Back],Juan Gómez-Jurado,12 hrs and 3 mins
Pride & Prejudice and Planets,Renata McMann,20 hrs and 38 mins
The Return of the King,J. R. R. Tolkien,21 hrs and 52 mins
Tom Clancy Act of Defiance,Brian Andrews,13 hrs
Carl's Doomsday Scenario,Matt Dinniman,11 hrs and 28 mins
Killing the Witches,Bill O'Reilly,9 hrs and 3 mins
Love at First Psych,Cara Bastone,4 hrs and 35 mins
For the Fans,Nyla K,22 hrs and 39 mins
Holding,Alexandria House,6 hrs and 11 mins
Don't Forget Me Tomorrow,A.L. Jackson,11 hrs and 14 mins
The Hobbit,J. R. R. Tolkien,10 hrs and 25 mins
The Hundred Years' War on Palestine,Rashid Khalidi,10 hrs and 30 mins
Defiance of the Fall 9,TheFirstDefier,22 hrs and 34 mins
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],Sarah J. Maas,6 hrs and 11 mins
He Who Fights with Monsters 6,Shirtaloon,15 hrs and 49 mins
Smarter Not Harder,Dave Asprey,8 hrs and 31 mins
Starling House,Alix E. Harrow,12 hrs and 26 mins
The Nightingale,Kristin Hannah,17 hrs and 19 mins
The Eye of the World,Robert Jordan,32 hrs and 55 mins
Defiance of the Fall 7,TheFirstDefier,23 hrs and 3 mins
The Psychology of Money,Morgan Housel,5 hrs and 48 mins
Faking It with the Forward,Angel Lawson,10 hrs and 41 mins
Defiance of the Fall 6,TheFirstDefier,23 hrs and 1 min
Happy-Go-Lucky,David Sedaris,7 hrs and 30 mins
Ain't Nothin' Personal,Chris Kelsey,9 hrs and 9 mins
Waybound,Will Wight,16 hrs and 13 mins
Knot so Lucky,Trilina Pucci,7 hrs and 18 mins
Esrahaddon,Michael J. Sullivan,29 hrs and 32 mins
Lone Wolf,Gregg Hurwitz,12 hrs and 30 mins
One Last Rainy Day: The Legacy of a Prince,Kate Stewart,11 hrs and 31 mins
By the Grace of the Gods: Volume 5,Roy,6 hrs and 44 mins
Written in My Own Heart's Blood,Diana Gabaldon,45 hrs
None of This Is True,Lisa Jewell,10 hrs and 20 mins
A Breath of Snow and Ashes,Diana Gabaldon,57 hrs and 48 mins
Thicker than Water,Kerry Washington,8 hrs and 59 mins
Sons of Valor III: War Machine,Brian Andrews,11 hrs
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,13 hrs and 52 mins
The Ultimate Pregnancy Survival Guide for First-Time Dads,Patrick Nguyen,3 hrs and 52 mins
Once Upon Nantucket: Encore Edition,Irene Hannon,5 hrs and 52 mins
Deception,Rand Paul,13 hrs and 45 mins
The Legend of Randidly Ghosthound 5,Noret Flood,29 hrs and 58 mins
The History of Psychedelics,Erika Dyck,2 hrs and 54 mins
Is God Real?,Lee Strobel,6 hrs and 39 mins
Shadow of Night,Deborah Harkness,24 hrs and 25 mins
The Housemaid,Freida McFadden,9 hrs and 46 mins
Rich Dad's Cashflow Quadrant,Robert T. Kiyosaki,8 hrs and 48 mins
Lonesome Dove,Larry McMurtry,36 hrs and 47 mins
Dark Encounters of the Fated Kind,I. T. Lucas,8 hrs and 41 mins
Clanlands in New Zealand,Sam Heughan,8 hrs and 48 mins
